model,input_price_per_1m,output_price_per_1m,input_tokens_per_model,output_tokens_per_model,cost_usd
Claude-Sonnet-4-20250514 (zero shot),3,15,3871564,89964.69661989796,12.964162449298469
Grok-4-0709 (zero shot),3,15,3871564,89964.69661989796,12.964162449298469
Claude-Sonnet-4-5-20250929 (zero shot),3,15,3871564,89964.69661989796,12.964162449298469
Mistral-Large-2407 (zero shot),3,9,3871564,89964.69661989796,12.424374269579081
GPT-4o (zero shot),2.5,10,3871564,89964.69661989796,10.57855696619898
Gemini-3-Pro-Preview (zero shot),2,12,3871564,89964.69661989796,8.822704359438776
O3-2025-04-16 (zero shot),2,8,3871564,89964.69661989796,8.462845572959184
GPT-4.1-2025-04-14 (zero shot),2,8,3871564,89964.69661989796,8.462845572959184
Mistral-Large-2411 (zero shot),2,6,3871564,89964.69661989796,8.282916179719388
GPT-5-2025-08-07 (zero shot),1.25,10,3871564,89964.69661989796,5.73910196619898
Gemini-2.5-Pro (zero shot),1.25,10,3871564,89964.69661989796,5.73910196619898
GPT-5.1-2025-11-13 (zero shot),1.25,10,3871564,89964.69661989796,5.73910196619898
DeepSeek-V3 (zero shot),1.25,1.25,3871564,89964.69661989796,4.9519108707748725
O3-Mini-2025-01-31 (zero shot),1.1,4.4,3871564,89964.69661989796,4.654565065127551
O4-Mini-2025-04-16 (zero shot),1.1,4.4,3871564,89964.69661989796,4.654565065127551
Claude-Haiku-4-5-20251001 (zero shot),1,5,3871564,89964.69661989796,4.32138748309949
Kimi-K2-Instruct (zero shot),1,3,3871564,89964.69661989796,4.141458089859694
Kimi-K2-Instruct-0905 (zero shot),1,3,3871564,89964.69661989796,4.141458089859694
Llama-3.3-70B-Instruct-Turbo (zero shot),0.88,0.88,3871564,89964.69661989796,3.48614525302551
DeepSeek-V3.1 (zero shot),0.6,1.7,3871564,89964.69661989796,2.4758783842538263
Mixtral-8x7B-Instruct-V0.1 (zero shot),0.6,0.6,3871564,89964.69661989796,2.376917217971939
GPT-3.5-Turbo-0125 (zero shot),0.5,1.5,3871564,89964.69661989796,2.070729044929847
Mistral-Large-Latest (zero shot),0.5,1.5,3871564,89964.69661989796,2.070729044929847
Gemini-2.5-Flash (zero shot),0.3,2.5,3871564,89964.69661989796,1.3863809415497448
GPT-5-Mini-2025-08-07 (zero shot),0.25,2,3871564,89964.69661989796,1.147820393239796
Claude-3-Haiku-20240307 (zero shot),0.25,1.25,3871564,89964.69661989796,1.0803468707748725
GLM-4.5-Air-FP8 (zero shot),0.2,1.1,3871564,89964.69661989796,0.8732739662818878
Grok-4-Fast-Non-Reasoning (zero shot),0.2,0.5,3871564,89964.69661989796,0.819295148309949
Grok-4-1-Fast-Non-Reasoning (zero shot),0.2,0.5,3871564,89964.69661989796,0.819295148309949
Grok-4-1-Fast-Reasoning (zero shot),0.2,0.5,3871564,89964.69661989796,0.819295148309949
Grok-4-Fast-Reasoning (zero shot),0.2,0.5,3871564,89964.69661989796,0.819295148309949
Gemini-2.0-Flash-Lite-001 (zero shot),0.075,0.3,3871564,89964.69661989796,0.3173567089859694
GPT-5-Nano-2025-08-07 (zero shot),0.05,0.4,3871564,89964.69661989796,0.2295640786479592
