model,metric,horizon,nforecasts,nvalid,CRPS,nCRPS_global,excess_nCRPS_global,excess_CRPS_over_IQR
anthropic/claude-fable-5,NC14_world_wonders,T90,6,6,0.5240999999999999,0.13102499999999997,0.05473333333333336,0.21893333333333345
anthropic/claude-fable-5,NC14_world_wonders,T120,6,6,0.9250333333333329,0.23125833333333323,0.12320000000000002,0.4818333333333334
anthropic/claude-fable-5,NC14_world_wonders,T150,6,6,2.5502333333333334,0.6375583333333333,0.4807666666666668,1.3780222222222225
anthropic/claude-fable-5,NC14_world_wonders,T180,7,7,3.8553428571428574,0.9638357142857144,0.7355714285714285,1.2852285714285716
anthropic/claude-fable-5,NC14_world_wonders,T210,6,6,5.415533333333332,1.353883333333333,1.0638666666666665,1.729605555555555
anthropic/claude-fable-5,NC14_world_wonders,all,31,31,2.6928,0.6732,0.4994967741935484,1.0273215053763443
anthropic/claude-fable-5,NC1_value_at_T,T90,12,12,16.962216666666666,0.18207367460317458,0.12191104761904764,0.8147608348348351
anthropic/claude-fable-5,NC1_value_at_T,T120,12,12,26.176983333333336,0.2777239761904761,0.16358193650793648,0.6118815677611241
anthropic/claude-fable-5,NC1_value_at_T,T150,12,12,32.997883333333334,0.31338119841269846,0.1637227619047619,0.4241869122278244
anthropic/claude-fable-5,NC1_value_at_T,T180,12,12,33.34045,0.3556075317460317,0.17566096825396824,0.4901972430690982
anthropic/claude-fable-5,NC1_value_at_T,T210,12,12,70.23373333333332,0.6078768968253968,0.3896407777777778,0.698242740179882
anthropic/claude-fable-5,NC1_value_at_T,all,60,60,35.94225333333334,0.3473326555555556,0.2029034984126984,0.6078538596145526
anthropic/claude-fable-5,NC5_world_captures,T90,6,6,4.7875000000000005,0.09575,0.05440799999999999,0.4893999999999999
anthropic/claude-fable-5,NC5_world_captures,T120,6,6,23.941533333333343,0.47883066666666685,0.3818093333333335,1.4530684144646413
anthropic/claude-fable-5,NC5_world_captures,T150,7,7,44.367000000000004,0.8873400000000001,0.7400160000000001,1.8260974305328543
anthropic/claude-fable-5,NC5_world_captures,T180,6,6,53.73023333333335,1.0746046666666669,0.9030093333333337,1.8243794533110338
anthropic/claude-fable-5,NC5_world_captures,T210,7,7,71.63280000000002,1.4326560000000004,1.2206582857142863,1.9461547764656966
anthropic/claude-fable-5,NC5_world_captures,all,32,32,40.83606875,0.8167213750000002,0.6800025000000003,1.531464145488872
anthropic/claude-fable-5,P1_civ_conquests,T90,6,6,0.7075,0.07075,0.02110666666666668,0.1458666666666668
anthropic/claude-fable-5,P1_civ_conquests,T120,6,6,2.574566666666667,0.25745666666666667,0.1438866666666667,0.45498888888888894
anthropic/claude-fable-5,P1_civ_conquests,T150,7,7,3.503342857142857,0.3503342857142857,0.20333142857142852,0.4782209523809523
anthropic/claude-fable-5,P1_civ_conquests,T180,6,6,3.8517333333333337,0.38517333333333337,0.21207333333333336,0.4430022222222223
anthropic/claude-fable-5,P1_civ_conquests,T210,6,6,6.1040333333333345,0.6104033333333334,0.4119666666666668,0.7475888888888891
anthropic/claude-fable-5,P1_civ_conquests,all,31,31,3.3532387096774183,0.3353238709677419,0.19862967741935486,0.45471698924731185
anthropic/claude-fable-5,P2_civ_losses,T90,6,6,0.933933333333333,0.09339333333333329,0.017346666666666618,0.07152222222222211
anthropic/claude-fable-5,P2_civ_losses,T120,6,6,3.5534666666666674,0.3553466666666667,0.19362000000000001,0.4260933333333334
anthropic/claude-fable-5,P2_civ_losses,T150,6,6,3.516366666666667,0.35163666666666665,0.19178666666666666,0.3688095238095239
anthropic/claude-fable-5,P2_civ_losses,T180,6,6,9.810166666666667,0.9810166666666668,0.6899533333333334,0.7949834920634921
anthropic/claude-fable-5,P2_civ_losses,T210,7,7,7.98397142857143,0.7983971428571428,0.5328285714285715,0.6827820614306329
anthropic/claude-fable-5,P2_civ_losses,all,31,31,5.250690322580645,0.5250690322580646,0.3318077419354839,0.4757395438253503
anthropic/claude-fable-5,P3_civ_founds,T90,6,6,5.948900000000001,0.297445,0.24371333333333337,1.472565555555556
anthropic/claude-fable-5,P3_civ_founds,T120,6,6,8.623266666666666,0.4311633333333333,0.34339666666666663,1.5626542857142853
anthropic/claude-fable-5,P3_civ_founds,T150,6,6,9.865400000000001,0.49327000000000004,0.3622966666666667,0.9563910582010582
anthropic/claude-fable-5,P3_civ_founds,T180,7,7,9.96477142857143,0.4982385714285715,0.35273714285714286,0.9522625932797364
